chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
java/org/jfree/chart/axis/ModuloAxis.java,org.jfree.chart.axis.ModuloAxis,326.0,152.0,0.46625766,39.0,0.011955325
java/org/jfree/chart/plot/dial/DialPlot.java,org.jfree.chart.plot.dial.DialPlot,692.0,346.0,0.5,72.0,0.0069444445
java/org/jfree/chart/renderer/category/IntervalBarRenderer.java,org.jfree.chart.renderer.category.IntervalBarRenderer,156.0,68.0,0.43589744,18.0,0.024216525
java/org/jfree/chart/plot/XYCrosshairState.java,org.jfree.chart.plot.XYCrosshairState,11.0,7.0,0.6363636,0.0,Infinity
java/org/jfree/data/gantt/TaskSeriesCollection.java,org.jfree.data.gantt.TaskSeriesCollection,590.0,288.0,0.4881356,58.0,0.008416131
java/org/jfree/chart/event/RendererChangeListener.java,org.jfree.chart.event.RendererChangeListener,12.0,9.0,0.75,0.0,Infinity
java/org/jfree/chart/renderer/GrayPaintScale.java,org.jfree.chart.renderer.GrayPaintScale,162.0,90.0,0.5555556,12.0,0.0462963
java/org/jfree/chart/axis/AxisLabelLocation.java,org.jfree.chart.axis.AxisLabelLocation,17.0,12.0,0.7058824,0.0,Infinity
java/org/jfree/chart/swing/editor/DefaultAxisEditor.java,org.jfree.chart.swing.editor.DefaultAxisEditor,376.0,210.0,0.55851066,23.0,0.024283072
java/org/jfree/chart/text/TextFragment.java,org.jfree.chart.text.TextFragment,231.0,127.0,0.5497835,18.0,0.030543528
java/org/jfree/data/xy/VectorXYDataset.java,org.jfree.data.xy.VectorXYDataset,37.0,32.0,0.8648649,0.0,Infinity
java/org/jfree/chart/util/GradientPaintTransformer.java,org.jfree.chart.util.GradientPaintTransformer,17.0,14.0,0.8235294,0.0,Infinity
java/org/jfree/data/category/DefaultCategoryDataset.java,org.jfree.data.category.DefaultCategoryDataset,358.0,223.0,0.622905,33.0,0.01887591
java/org/jfree/chart/labels/CustomXYToolTipGenerator.java,org.jfree.chart.labels.CustomXYToolTipGenerator,129.0,61.0,0.4728682,12.0,0.039405685
java/org/jfree/data/xml/DatasetReader.java,org.jfree.data.xml.DatasetReader,107.0,56.0,0.5233645,7.0,0.07476635
java/org/jfree/data/time/ohlc/OHLCSeries.java,org.jfree.data.time.ohlc.OHLCSeries,84.0,54.0,0.64285713,6.0,0.10714286
java/org/jfree/chart/renderer/PolarItemRenderer.java,org.jfree.chart.renderer.PolarItemRenderer,129.0,112.0,0.86821705,0.0,Infinity
java/org/jfree/chart/api/RectangleAlignment.java,org.jfree.chart.api.RectangleAlignment,122.0,45.0,0.36885247,13.0,0.028373268
java/org/jfree/chart/axis/CompassFormat.java,org.jfree.chart.axis.CompassFormat,95.0,58.0,0.6105263,5.0,0.12210526
java/org/jfree/data/json/impl/JSONValue.java,org.jfree.data.json.impl.JSONValue,280.0,137.0,0.4892857,34.0,0.014390756
java/org/jfree/data/time/ohlc/OHLC.java,org.jfree.data.time.ohlc.OHLC,114.0,58.0,0.50877196,12.0,0.042397663
java/org/jfree/data/xy/YIntervalSeries.java,org.jfree.data.xy.YIntervalSeries,117.0,83.0,0.7094017,7.0,0.1013431
java/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java,org.jfree.chart.renderer.xy.XYDifferenceRenderer,893.0,325.0,0.36394176,70.0,0.005199168
java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,org.jfree.chart.labels.AbstractPieItemLabelGenerator,174.0,83.0,0.4770115,18.0,0.026500639
